#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.056110;-0.000030;-0.000072;0.000146;0.000002;0.000125;0.000108;0.000039;-0.000063;0.000066;0.000041;-0.000036;0.000097;3.530388;32.089539;-1.934399;4.779413;16.527904;0.446679;-0.043493;0.439167;-0.004256
0.056210;-0.000053;-0.000060;0.000131;0.000038;0.000128;0.000118;0.000030;-0.000064;0.000051;0.000048;-0.000080;0.000108;3.530388;32.093361;-1.934399;4.775599;15.444289;0.444220;-0.065429;0.439171;-0.004256
0.056310;-0.000077;-0.000047;0.000116;0.000076;0.000132;0.000131;0.000019;-0.000066;0.000036;0.000054;-0.000124;0.000120;3.530388;32.089539;-1.934399;4.779413;14.374976;0.442349;-0.091615;0.439167;-0.004256
0.056410;-0.000102;-0.000036;0.000100;0.000112;0.000133;0.000138;0.000010;-0.000067;0.000022;0.000060;-0.000166;0.000133;3.518944;32.089539;-1.942029;4.767969;13.181771;0.438548;-0.120356;0.439173;-0.004255
0.056510;-0.000119;-0.000031;0.000090;0.000136;0.000133;0.000141;0.000008;-0.000067;0.000013;0.000065;-0.000190;0.000144;3.526573;32.089539;-1.938214;4.775599;12.573334;0.435896;-0.137798;0.439169;-0.004256
0.056610;-0.000098;-0.000042;0.000109;0.000101;0.000136;0.000138;0.000008;-0.000072;0.000023;0.000059;-0.000146;0.000135;3.522759;32.089539;-1.942029;4.771784;13.630065;0.443303;-0.109755;0.439171;-0.004256
0.056710;-0.000078;-0.000056;0.000124;0.000064;0.000133;0.000124;0.000019;-0.000072;0.000036;0.000054;-0.000100;0.000127;3.526573;32.089539;-1.938214;4.775599;14.670575;0.446126;-0.080482;0.439169;-0.004256
0.056810;-0.000056;-0.000069;0.000139;0.000027;0.000129;0.000111;0.000032;-0.000070;0.000052;0.000048;-0.000054;0.000118;3.530388;32.089539;-1.934399;4.779413;15.774016;0.447797;-0.054810;0.439167;-0.004256
0.056910;-0.000034;-0.000081;0.000155;-0.000010;0.000126;0.000099;0.000042;-0.000070;0.000067;0.000042;-0.000010;0.000107;3.526573;32.093361;-1.934399;4.779413;16.809763;0.449938;-0.033323;0.439169;-0.004255
0.057010;-0.000020;-0.000089;0.000163;-0.000035;0.000122;0.000088;0.000051;-0.000068;0.000077;0.000037;0.000017;0.000100;3.530388;32.089539;-1.934399;4.779413;17.333980;0.449943;-0.020430;0.439167;-0.004256
0.057110;-0.000046;-0.000081;0.000141;-0.000003;0.000110;0.000076;0.000064;-0.000056;0.000073;0.000043;-0.000023;0.000114;3.530388;32.093361;-1.934399;4.779413;16.048083;0.440891;-0.028893;0.439169;-0.004256
0.057210;-0.000071;-0.000071;0.000120;0.000029;0.000099;0.000066;0.000076;-0.000045;0.000066;0.000050;-0.000062;0.000126;3.526573;32.093361;-1.934399;4.779413;14.924229;0.431258;-0.039746;0.439169;-0.004255
0.057310;-0.000095;-0.000061;0.000099;0.000062;0.000091;0.000060;0.000084;-0.000036;0.000058;0.000057;-0.000104;0.000138;3.526573;32.093361;-1.934399;4.783228;13.814039;0.421181;-0.054300;0.439167;-0.004255
0.057410;-0.000119;-0.000051;0.000080;0.000096;0.000083;0.000057;0.000089;-0.000028;0.000049;0.000063;-0.000145;0.000150;3.530388;32.089539;-1.930585;4.779413;12.609321;0.410298;-0.073924;0.439167;-0.004255
0.057510;-0.000132;-0.000043;0.000069;0.000118;0.000081;0.000058;0.000088;-0.000026;0.000044;0.000068;-0.000172;0.000157;3.530388;32.089539;-1.934399;4.779413;12.099748;0.405839;-0.087967;0.439167;-0.004256
0.057610;-0.000103;-0.000051;0.000091;0.000085;0.000089;0.000066;0.000078;-0.000036;0.000053;0.000062;-0.000132;0.000141;3.530388;32.093361;-1.930585;4.783228;13.359167;0.420036;-0.068933;0.439167;-0.004255
